v8-version,5,1,281,111,0
code-creation,Stub,3,0x2b1e55a24160,1526,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a24760,1508,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a24d60,1492,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a25340,600,"RecordWriteStub"
code-creation,Handler,4,0x2b1e55a255a0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a25620,224,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a25700,939,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a25ac0,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x2b1e55a25b40,464,"A call IC from the snapshot"
code-creation,Handler,4,0x2b1e55a25d20,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x2b1e55a260e0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a26160,464,"A call IC from the snapshot"
code-creation,Handler,4,0x2b1e55a26340,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a263c0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a26440,443,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a26600,348,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a26760,443,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a26920,244,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a26a20,204,"BinaryOpICStub"
code-creation,Stub,17,0x2b1e55a26b00,204,"ToBooleanICStub"
code-creation,Handler,4,0x2b1e55a26be0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a26c60,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a26ce0,212,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a26dc0,204,"BinaryOpICStub"
code-creation,CallIC,12,0x2b1e55a26ea0,113,"A call IC from the snapshot"
code-creation,Handler,4,0x2b1e55a26f20,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a26fa0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a27020,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a270a0,204,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a27180,117,"StubFailureTrampolineStub"
code-creation,Stub,3,0x2b1e55a27200,991,"NameDictionaryLookupStub"
code-creation,Stub,3,0x2b1e55a275e0,463,"FastNewContextStub"
code-creation,Handler,4,0x2b1e55a277c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a27840,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a278c0,2388,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a28220,1187,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a286e0,447,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a288a0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a28920,224,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a28a00,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a28a80,972,"NameDictionaryLookupStub"
code-creation,Stub,3,0x2b1e55a28e60,2205,"FastArrayPushStub"
code-creation,Stub,3,0x2b1e55a29700,2360,"RecordWriteStub"
code-creation,Handler,4,0x2b1e55a2a040,116,"An IC handler from the snapshot"
